Scenario,ScenarioName,Algorithm,Seed,CapWatts,TotalSolutions,FeasibleSolutions,FeasibilityRate,PeakPowerMax
1,Balanced,AMOSA_PC_120kW,204,190000.0,5,5,1.0000,119730.370
1,Balanced,AMOSA_PC_120kW,204,120000.0,5,5,1.0000,119730.370
1,Balanced,AMOSA_PC_120kW,205,220000.0,11,11,1.0000,119716.580
1,Balanced,AMOSA_PC_120kW,205,190000.0,11,11,1.0000,119716.580
1,Balanced,AMOSA_PC_120kW,205,120000.0,11,11,1.0000,119716.580
1,Balanced,AMOSA_PC_120kW,206,220000.0,11,11,1.0000,119558.156
1,Balanced,AMOSA_PC_120kW,206,190000.0,11,11,1.0000,119558.156
1,Balanced,AMOSA_PC_120kW,206,120000.0,11,11,1.0000,119558.156
1,Balanced,AMOSA_PC_120kW,207,220000.0,7,7,1.0000,119836.069
1,Balanced,AMOSA_PC_120kW,207,190000.0,7,7,1.0000,119836.069
